 id  |                          name                           |                         slug                          
-----+---------------------------------------------------------+-------------------------------------------------------
 219 | Accuracy Rating                                         | accuracy-rating
 214 | Accuracy Rating +%                                      | accuracy-rating
 262 | Add Frenzy Charge On Kill % Chance                      | add-frenzy-charge-on-kill-chance
 165 | Additional All Attributes                               | additional-all-attributes
 208 | Additional Dexterity                                    | additional-dexterity
 170 | Additional Dexterity And Intelligence                   | additional-dexterity-and-intelligence
 212 | Additional Intelligence                                 | additional-intelligence
 108 | Additional Staff Block %                                | additional-staff-block
 166 | Additional Strength                                     | additional-strength
 179 | Additional Strength And Dexterity                       | additional-strength-and-dexterity
 222 | Additional Strength And Intelligence                    | additional-strength-and-intelligence
 254 | Add Power Charge On Kill % Chance                       | add-power-charge-on-kill-chance
 249 | All Attributes +%                                       | all-attributes
 167 | All Damage                                              | all-damage
 198 | Area Damage +%                                          | area-damage
 191 | Attack And Cast Speed +%                                | attack-and-cast-speed
 265 | Attack Damage +%                                        | attack-damage
  87 | Attack Maximum Added Cold Damage                        | attack-maximum-added-cold-damage
  63 | Attack Maximum Added Fire Damage                        | attack-maximum-added-fire-damage
 129 | Attack Maximum Added Lightning Damage                   | attack-maximum-added-lightning-damage
  65 | Attack Minimum Added Cold Damage                        | attack-minimum-added-cold-damage
  20 | Attack Minimum Added Fire Damage                        | attack-minimum-added-fire-damage
  39 | Attack Minimum Added Lightning Damage                   | attack-minimum-added-lightning-damage
 201 | Attack Speed +%                                         | attack-speed
  50 | Attack Speed while Dual Wielding                        | attack-speed-while-dual-wielding
   9 | Attack Speed +% While Holding Shield                    | attack-speed-while-holding-shield
  88 | Attack Speed with Axes                                  | attack-speed-with-axes
 132 | Attack Speed with Bows                                  | attack-speed-with-bows
  10 | Attack Speed with Claws                                 | attack-speed-with-claws
 112 | Attack Speed with Daggers                               | attack-speed-with-daggers
  36 | Attack Speed with Maces                                 | attack-speed-with-maces
  44 | Attack Speed with Staves                                | attack-speed-with-staves
  70 | Attack Speed with Swords                                | attack-speed-with-swords
 122 | Attack Speed with Wands                                 | attack-speed-with-wands
   6 | Axe Damage                                              | axe-damage
 264 | Base Additional Physical Damage Reduction %             | base-additional-physical-damage-reduction
 231 | Base Chance To Dodge %                                  | base-chance-to-dodge
 154 | Base Chance To Freeze %                                 | base-chance-to-freeze
